forkortelse	ABBREV
prosess	PHYSIOLOGY
refleks	PHYSIOLOGY
resistens	PHYSIOLOGY
sammentrekning	PHYSIOLOGY
utskillelse	PHYSIOLOGY
celler	ANAT_LOC
hud	ANAT_LOC
hulrom	ANAT_LOC
kanal	ANAT_LOC
knokkel	ANAT_LOC
kroppsdel	ANAT_LOC
ledd	ANAT_LOC
muskel	ANAT_LOC
muskl	ANAT_LOC
åpning	ANAT_LOC
allergi	CONDITION
amnesi	CONDITION
angina	CONDITION
ansamling	CONDITION
atferd	CONDITION
avhengighet	CONDITION
avleiring	CONDITION
avvik	CONDITION
betennelse	CONDITION
betennelsesreaksjon	CONDITION
blødning	CONDITION
cyste	CONDITION
dannelse	CONDITION
deform	CONDITION
deformans	CONDITION
dysfunksjon	CONDITION
død	CONDITION
feber	CONDITION
feil	CONDITION
feilstilling	CONDITION
fenomen	CONDITION
forandring	CONDITION
forekomst	CONDITION
forgiftning	CONDITION
forhøyning	CONDITION
forsnevring	CONDITION
forstadium	CONDITION
forstyrrelse	CONDITION
forstørrelse	CONDITION
fortykkelse	CONDITION
funksjonshemming	CONDITION
følelse	CONDITION
hevelse	CONDITION
hudforandring	CONDITION
hudsykdom	CONDITION
hukommelsestap	CONDITION
infeksjon	CONDITION
infeksjonssykdom	CONDITION
inflammasjon	CONDITION
krampe	CONDITION
kreft	CONDITION
lammelse	CONDITION
lekkasje	CONDITION
lidelse	CONDITION
lungesykdom	CONDITION
mangel	CONDITION
misdannelse	CONDITION
misfarging	CONDITION
opphopning	CONDITION
paralyse	CONDITION
reaksjon	CONDITION
rødhet	CONDITION
sarkom	CONDITION
skade	CONDITION
sklerose	CONDITION
smerte	CONDITION
spasme	CONDITION
stadium	CONDITION
svulst	CONDITION
sykdom	CONDITION
sykdomstilstand	CONDITION
symptom	CONDITION
syndrom	CONDITION
syndrome	CONDITION
tap	CONDITION
tendens	CONDITION
tilstand	CONDITION
tumor	CONDITION
utposning	CONDITION
utskillelse	CONDITION
utvekst	CONDITION
utvidelse	CONDITION
utvikling	CONDITION
vanskelighet	CONDITION
økning	CONDITION
fagområde	DISCIPLINE
forskning	DISCIPLINE
lære	DISCIPLINE
medisin	DISCIPLINE
studium	DISCIPLINE
teori	DISCIPLINE
bakteri	MICROORGANISM
bakterie	MICROORGANISM
organisme	MICROORGANISM
virus	MICROORGANISM
foretak	ORGANIZATION
institusjon	ORGANIZATION
institutt	ORGANIZATION
klinikk	ORGANIZATION
organisasjon	ORGANIZATION
selskap	ORGANIZATION
helsepersonell	PERSON
individ	PERSON
lege	PERSON
pasient	PERSON
person	PERSON
behandling	PROCEDURE
behandlingsform	PROCEDURE
behandlingsmetode	PROCEDURE
fjernelse	PROCEDURE
fjerning	PROCEDURE
innføring	PROCEDURE
inngrep	PROCEDURE
metode	PROCEDURE
måling	PROCEDURE
operasjon	PROCEDURE
operasjonsmetode	PROCEDURE
plastikk	PROCEDURE
prøve	PROCEDURE
røntgenundersøkelse	PROCEDURE
teknikk	PROCEDURE
terapi	PROCEDURE
tiltak	PROCEDURE
undersøkelse	PROCEDURE
undersøkelsesmetode	PROCEDURE
uthuling	PROCEDURE
omsorg	SERVICE
service	SERVICE
tjeneste	SERVICE
alkaloid	SUBSTANCE
aminosyre	SUBSTANCE
antibiotikum	SUBSTANCE
antihistamin	SUBSTANCE
antistoff	SUBSTANCE
blanding	SUBSTANCE
cytostatikum	SUBSTANCE
enzym	SUBSTANCE
enzyme	SUBSTANCE
fargestoff	SUBSTANCE
forbindelse	SUBSTANCE
gift	SUBSTANCE
glukokortikoid	SUBSTANCE
grunnstoff	SUBSTANCE
hormon	SUBSTANCE
krem	SUBSTANCE
legemiddel	SUBSTANCE
legemiddelform	SUBSTANCE
løsning	SUBSTANCE
materiale	SUBSTANCE
medikament	SUBSTANCE
middel	SUBSTANCE
preparat	SUBSTANCE
prevensjonsmiddel	SUBSTANCE
protein	SUBSTANCE
serum	SUBSTANCE
stoff	SUBSTANCE
substans	SUBSTANCE
analysis	TOOL
apparat	TOOL
instrument	TOOL
skåringsverktøy	TOOL
verktøy	TOOL
